"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Negative Test: Verify that when user enter wrong word in to search field search Result Page contains a message stating that no products were found.","3024","verifyPageIsOpenedCorrectlyByWrongKey","All Tests","Thu Oct 03 21:45:45 EEST 2024","passed","Thu Oct 03 21:45:48 EEST 2024","AT_final_project_yapiko.SearchResultsPageTests","Negative Tests","AT_final_project_yapiko.SearchResultsPageTests","verifyPageIsOpenedCorrectlyByWrongKey"
"Verify that the user can switch the language.","3876","verifyLanguageCanBeChanged","All Tests","Thu Oct 03 21:44:05 EEST 2024","passed","Thu Oct 03 21:44:09 EEST 2024","AT_final_project_yapiko.HomePageTests","Positive Tests","AT_final_project_yapiko.HomePageTests","verifyLanguageCanBeChanged"
"Verify that the complain pop up is opened when user click on the complain button and closed after click on the pop up complain button close.","939","verifyComplainPopUpCanBeOpenedAndClosed","All Tests","Thu Oct 03 21:44:03 EEST 2024","passed","Thu Oct 03 21:44:04 EEST 2024","AT_final_project_yapiko.HomePageTests","Positive Tests","AT_final_project_yapiko.HomePageTests","verifyComplainPopUpCanBeOpenedAndClosed"
"Verify that when user placing an order, if he select pickup, a discount is applied.","7324","verifyPickUpDiscountIsAppliedCorrectly","All Tests","Thu Oct 03 21:45:17 EEST 2024","passed","Thu Oct 03 21:45:25 EEST 2024","AT_final_project_yapiko.BasketPageTests","Positive Tests","AT_final_project_yapiko.BasketPageTests","verifyPickUpDiscountIsAppliedCorrectly"
"Verify that the can go to the product page and add this product in to the cart.","9949","verifyPDPOpenedCorrectly","All Tests","Thu Oct 03 21:44:50 EEST 2024","passed","Thu Oct 03 21:45:00 EEST 2024","AT_final_project_yapiko.ProductDetailPageTests","Positive Tests","AT_final_project_yapiko.ProductDetailPageTests","verifyPDPOpenedCorrectly"
"Verify that the user can select the city.","2580","verifyCityCanBeSwitched","All Tests","Thu Oct 03 21:43:57 EEST 2024","passed","Thu Oct 03 21:44:00 EEST 2024","AT_final_project_yapiko.HomePageTests","Positive Tests","AT_final_project_yapiko.HomePageTests","verifyCityCanBeSwitched"
"Verify that the account pop up is opened when user click on the account button and closed after click on the pop up close button.","1855","verifyAccountPopUpCanBeOpenedAndClosed","All Tests","Thu Oct 03 21:43:53 EEST 2024","passed","Thu Oct 03 21:43:55 EEST 2024","AT_final_project_yapiko.HomePageTests","Positive Tests","AT_final_project_yapiko.HomePageTests","verifyAccountPopUpCanBeOpenedAndClosed"
"Verify that the user can enter the menu, submenu and all products in the submenu contain the name of the submenu in the title.","6108","verifySubmenuProductPageOpenedCorrectly","All Tests","Thu Oct 03 21:45:28 EEST 2024","passed","Thu Oct 03 21:45:34 EEST 2024","AT_final_project_yapiko.SubmenuProductPageTests","Positive Tests","AT_final_project_yapiko.SubmenuProductPageTests","verifySubmenuProductPageOpenedCorrectly"
"Verify that the price is calculated correctly when a product is removed from the basket.","12314","verifyAmountIsCorrectIfDeleteProductFromBasket","All Tests","Thu Oct 03 21:45:03 EEST 2024","passed","Thu Oct 03 21:45:15 EEST 2024","AT_final_project_yapiko.BasketPageTests","Positive Tests","AT_final_project_yapiko.BasketPageTests","verifyAmountIsCorrectIfDeleteProductFromBasket"
"Verify that the call back form is opened when user click on call back button and closed when user click on close pop up button.","293","verifyCallBackFormCanBeOpenedAndClosed","All Tests","Thu Oct 03 21:43:56 EEST 2024","passed","Thu Oct 03 21:43:56 EEST 2024","AT_final_project_yapiko.HomePageTests","Positive Tests","AT_final_project_yapiko.HomePageTests","verifyCallBackFormCanBeOpenedAndClosed"
"Verify that the search Result Page opened correctly and its title contains word we search and all good contain this word.","5996","verifyPageIsOpenedCorrectlyByKeyWord","All Tests","Thu Oct 03 21:44:33 EEST 2024","passed","Thu Oct 03 21:44:39 EEST 2024","AT_final_project_yapiko.SearchResultsPageTests","Positive Tests","AT_final_project_yapiko.SearchResultsPageTests","verifyPageIsOpenedCorrectlyByKeyWord"
"Verify that the search Result Page opened correctly and its title contains word we search and all good contain this word.","4028","verifyPageIsOpenedCorrectlyByKeyWord","All Tests","Thu Oct 03 21:44:10 EEST 2024","passed","Thu Oct 03 21:44:14 EEST 2024","AT_final_project_yapiko.SearchResultsPageTests","Positive Tests","AT_final_project_yapiko.SearchResultsPageTests","verifyPageIsOpenedCorrectlyByKeyWord"
"Negative Test: Verify that the user cannot register if not all fields of the registration form are filled out and user see the mistake message.","941","verifyRegistrationFormCanBeFilledOut","All Tests","Thu Oct 03 21:45:40 EEST 2024","passed","Thu Oct 03 21:45:41 EEST 2024","AT_final_project_yapiko.HomePageTests","Negative Tests","AT_final_project_yapiko.HomePageTests","verifyRegistrationFormCanBeFilledOut"
"Negative Test: Verify that the empty Call back Form is not send and the error message is displayed.","513","verifyEmptyCallBackFormCanNotBeSend","All Tests","Thu Oct 03 21:45:36 EEST 2024","passed","Thu Oct 03 21:45:37 EEST 2024","AT_final_project_yapiko.HomePageTests","Negative Tests","AT_final_project_yapiko.HomePageTests","verifyEmptyCallBackFormCanNotBeSend"
"Verify that the search Result Page opened correctly and its title contains word we search and all good contain this word.","13458","verifyPageIsOpenedCorrectlyByKeyWord","All Tests","Thu Oct 03 21:44:17 EEST 2024","passed","Thu Oct 03 21:44:30 EEST 2024","AT_final_project_yapiko.SearchResultsPageTests","Positive Tests","AT_final_project_yapiko.SearchResultsPageTests","verifyPageIsOpenedCorrectlyByKeyWord"
